"description","disease"
"De petites macules brun-rougeâtre s'agrandissent en lésions ovales. Le centre devient gris-blanc et nécrotique.",Black Rot
"Les feuilles prennent une rigidité anormale avec épaississement du limbe qui devient cassant comme du carton.",Flavescence dorée
"Les spores sont dispersées par le vent et les éclaboussures de pluie. L'infection des baies provoque un brunissement et une momification.",Mildiou
"Le feutrage caractéristique peut devenir gris-beige en vieillissant. Les baies infectées tardivement cessent de grossir et leur peau durcit.",Oïdium
"Le dessèchement des feuilles leur confère un aspect de parchemin fragile. Des traînées longitudinales brun sombre à noires apparaissent dans le tissu ligneux.",Esca
"Les chancres allongés d'abord rouge-pourpre évoluent vers une couleur brun-violet à noire. La lésion s'étend rapidement sur la baie.",Black Rot
"L'enroulement s'accentue progressivement au fil de la saison. Les baies flétrissent puis chutent prématurément provoquant des pertes de rendement.",Flavescence dorée
"Les conditions favorables incluent des températures nocturnes maintenues au-dessus de 12-14 degrés. Les symptômes primaires prennent la forme de taches translucides.",Mildiou
"Les organes en croissance active se recouvrent d'une efflorescence poudreuse constituée du mycélium superficiel et des chaînes de spores.",Oïdium
"La chlorose internervaire débute généralement en bordure du limbe et progresse de manière centripète et asymétrique.",Esca
"Les pycnides noires sont disposées en cercles sur les baies momifiées. Les taches présentent un zonage concentrique très net.",Black Rot
"Les feuilles deviennent coriaces et cassantes avec une coloration intense et homogène. Le port retombant des rameaux est caractéristique.",Flavescence dorée
"Les jeunes feuilles développées présentent des taches huileuses visibles par transparence. La dissémination est assurée par les éclaboussures de pluie.",Mildiou
"La texture farineuse envahit la surface des jeunes feuilles. Les baies se recouvrent d'un feutrage gris-blanc dense.",Oïdium
"Les nécroses sectorielles forment des motifs triangulaires dans le bois. La colonisation vasculaire se développe de façon latente.",Esca
"Les lésions circulaires mesurent 4 à 14 millimètres de diamètre. Le centre nécrotique peut se perforer et laisser des trous dans le limbe.",Black Rot
"Les symptômes apparaissent à partir de juillet et s'intensifient durant l'été. L'épaississement marqué des tissus est observable.",Flavescence dorée
"Un brunissement généralisé provoque des pertes de récolte majeures. Les taches sont délimitées par les nervures foliaires.",Mildiou
"L'aspect poudré peut être retiré en frottant avec le doigt. Les fleurs avortent massivement provoquant une coulure importante.",Oïdium
"Les fentes verticales dans l'écorce sont visibles. Un affaiblissement général du plant avec rameaux courts est constaté.",Esca
"Les points noirs saillants apparaissent au centre des taches. Les chancres fendillés longitudinalement perturbent la circulation.",Black Rot
"Un défaut majeur d'aoûtement maintient les rameaux verts et souples. La maladie évolue rapidement au sein du plant.",Flavescence dorée
"Les macules polygonales s'étendent considérablement en conditions favorables. Le feutrage blanc cotonneux est très dense sur la face inférieure.",Mildiou
"Les déformations importantes incluent un enroulement vers le haut. La contamination des baies entraîne leur éclatement spectaculaire.",Oïdium
"Les stries longitudinales brun foncé sont visibles dans les vaisseaux. Une feuille peut être divisée en moitié nécrosée et moitié verte.",Esca
"L'alternance d'anneaux concentriques évoque une cible. Les baies durcissent et se couvrent de multiples pycnides noires.",Black Rot
"Les nervures principales se décolorent secondairement. La rigidité anormale du limbe est accompagnée d'un enroulement en cuillère.",Flavescence dorée
"La courbure en forme de crosse des grappes est caractéristique. Les baies se ratatinent avec un aspect de cuir bouilli.",Mildiou
"Le mycélium superficiel forme un réseau visible à l'œil nu. Les grappes sont sensibles de la floraison jusqu'au début de véraison.",Oïdium
"La nécrose évolue rapidement chez les cépages rouges avec une teinte rouge-brun pourpre. Le bois devient spongieux et s'effrite facilement.",Esca
"Les chancres déprimés peuvent ceinturer partiellement l'organe. Le centre gris-blanc devient nécrotique et se dessèche.",Black Rot
"L'absence quasi totale d'aoûtement persiste jusqu'aux premières gelées. Les baies prennent un aspect brun noirâtre avant de chuter.",Flavescence dorée
"Les sporangiophores portent les spores qui émergent par les stomates. Les jeunes inflorescences subissent un dessèchement complet.",Mildiou
"La peau des baies s'épaissit et durcit considérablement. Le feutrage gris-blanc dense empêche la maturation normale.",Oïdium
"Les altérations internes incluent des rayures noirâtres dans les vaisseaux. La décoloration brutale affecte souvent un seul bras charpentier.",Esca
"Les trous dans le limbe résultent du détachement des tissus morts. Les baies momifiées deviennent dures comme du parchemin.",Black Rot
"La turgescence naturelle est perdue et les feuilles deviennent rigides. Le flétrissement puis la chute des baies sont observés.",Flavescence dorée
"Les températures diurnes entre 19 et 26 degrés favorisent l'infection. Un halo jaune périphérique entoure la nécrose centrale.",Mildiou
"Les chaînes de spores sont produites en abondance. L'épiderme se rigidifie sous l'effet du mycélium envahissant.",Oïdium
"Le liseré caractéristique sépare la zone morte du tissu vert. Les entre-nœuds sont raccourcis et la production irrégulière.",Esca
"La zonation en œil de bœuf est très caractéristique. Les taches blanc-grisâtre évoluent avec un point noir central.",Black Rot
"Le port affaissé de l'ensemble du plant est visible. Les mesures sanitaires strictes sont nécessaires pour limiter la propagation.",Flavescence dorée
"Des millions de spores assurent la dissémination lors des pluies. Les fruits plus matures développent une décomposition brune à grisâtre.",Mildiou
"L'aspect farineux est constitué du mycélium et des spores. Les baies cessent de grossir et prennent une teinte brunâtre.",Oïdium
"Les zones nécrotiques triangulaires sont spectaculaires en coupe. La chlorose internervaire progresse vers l'intérieur du limbe.",Esca
"Les anneaux alternent entre bruns foncés et brun-clair. La baie uniformément brune se ride et durcit complètement.",Black Rot
"La coloration jaune citron chez les cépages blancs est uniforme. Les inflorescences avortent ou se dessèchent précocement.",Flavescence dorée
"Le dessèchement complet survient en quelques jours. Les plages translucides sont visibles par transparence à la lumière.",Mildiou
"Le réseau mycélien superficiel est facilement visible. L'éclatement spectaculaire des baies expose les pépins.",Oïdium
"Le bois mou et spongieux s'effrite aisément. Les symptômes surviennent lors des premières grosses chaleurs estivales.",Esca
"Les chancres fissurés bloquent la circulation de sève. Les pycnides noires couvrent la surface des baies desséchées.",Black Rot
"L'enroulement en cuillère est très typique. La chute prématurée du feuillage affecte l'ensemble de la souche.",Flavescence dorée
"L'aspect graisseux des zones translucides est caractéristique. La pourriture molle se développe sur les baies infectées.",Mildiou
"Le voile farineux s'étend sur tous les organes verts. La pellicule rigidifiée finit par se fendre en étoile.",Oïdium
"Les rayures longitudinales noirâtres sont visibles en section. Le flétrissement brutal peut survenir en quelques jours.",Esca
"Les perforations dans le limbe résultent de la nécrose centrale. Les baies persistent attachées pendant tout l'hiver.",Black Rot
"La cassure du limbe révèle sa rigidité anormale. Le dessèchement de la rafle entraîne la perte de la grappe.",Flavescence dorée
"Le duvet cryptogamique blanc est extrêmement dense. Les températures entre 17 et 24 degrés sont optimales pour le développement.",Mildiou
"La texture poudreuse recouvre les faces supérieure et inférieure. Les températures autour de 24-27 degrés favorisent la pathologie.",Oïdium
"Les stries noires dans les cernes récents sont visibles. L'asymétrie de l'expression foliaire est remarquable.",Esca
"Les cercles concentriques alternent en zones pâles et sombres. Les chancres allongés sont légèrement déprimés.",Black Rot
"Le port retombant s'accentue avec l'absence de lignification. La souche entière peut être affectée en une ou deux saisons.",Flavescence dorée
"Les sporangiophores libèrent des quantités massives de spores. Les grappes jeunes brunissent et se recourbent rapidement.",Mildiou
"L'efflorescence poudreuse blanche à gris cendré est abondante. Les baies infectées tardivement développent une peau durcie.",Oïdium
"La dégradation du bois forme des zones blanchâtres. La nécrose brun-rouge crée un contraste avec le tissu sain.",Esca
"Les anneaux successifs créent un motif de cible. Les points noirs saillants sont disposés de façon concentrique.",Black Rot
"L'épaississement des tissus accompagne l'enroulement. Les rameaux souples et verts persistent jusqu'aux gelées.",Flavescence dorée
"La période d'incubation courte accélère la propagation. Les baies flétries adoptent une texture coriace caractéristique.",Mildiou
"Les spores en chaînes donnent l'aspect de cendre fine. Les pépins sont exposés suite à la fente de l'épiderme.",Oïdium
"Les fissures verticales parcourent l'écorce du tronc. Le stress hydrique révèle la colonisation fongique interne.",Esca
"Le cœur nécrotique se détache et laisse des trous. Les chancres violacés peuvent encercler les pédoncules.",Black Rot
"La coloration rouge sombre intense caractérise les cépages noirs. La cicadelle vectrice transmet la maladie lors de ses piqûres.",Flavescence dorée
"Les éclaboussures de pluie dispersent les spores infectieuses. La momification des baies est accompagnée d'un aspect ratatiné.",Mildiou
"Le mycélium rigidifie l'épiderme des baies. Le feutrage dense empêche le développement normal des fruits.",Oïdium
"Les nécroses sectorielles forment des triangles dans le bois. La production de raisins est de qualité médiocre.",Esca
"Les lésions s'élargissent en taches arrondies brunâtres. L'épiderme plissé recouvre la pulpe totalement momifiée.",Black Rot
"Les feuilles perdent leur souplesse et deviennent cassantes. L'affaiblissement rapide peut conduire à la mort du plant.",Flavescence dorée
